,first,second
0,0,2
1,1,10
2,2,4
3,3,54
4,4,13
5,5,0
6,6,5
7,7,1
8,8,0
9,9,0
10,10,0
11,11,12
12,12,13
13,13,30
14,14,0
15,15,0
16,16,0
17,17,30
18,18,6
19,19,17
20,20,2
21,21,2
22,22,1
23,23,6
24,24,22
25,25,7
26,26,1
27,27,0
28,28,0
29,29,8
30,30,7
31,31,26
32,32,0
33,33,34
34,34,2
35,35,62
36,36,8
37,37,4
38,38,3
39,39,0
40,40,22
41,41,1
42,42,48
43,43,8
44,44,39
45,45,1
46,46,0
47,47,0
48,48,3
49,49,0
50,50,0
51,51,0
52,52,0
53,53,1
54,54,2
55,55,36
56,56,10
57,57,48
58,58,1
59,59,4
60,60,0
61,61,5
62,62,1
63,63,13
64,64,35
65,65,0
66,66,0
67,67,0
68,68,9
69,69,0
70,70,3
71,71,1
72,72,0
73,73,13
74,74,9
75,75,0
76,76,0
77,77,0
78,78,4
79,79,0
80,80,1
81,81,8
82,82,2
83,83,0
84,84,0
85,85,0
86,86,3
87,87,8
88,88,0
89,89,9
90,90,5
91,91,1
92,92,2
93,93,13
94,94,4
95,95,8
96,96,1
97,97,0
98,98,0
99,99,4
100,100,0
101,101,2
102,102,0
103,103,0
104,104,0
105,105,0
106,106,0
107,107,0
108,108,0
109,109,3
110,110,6
111,111,0
112,112,0
113,113,9
114,114,3
115,115,7
116,116,0
117,117,8
118,118,0
119,119,0
120,120,10
121,121,19
122,122,0
123,123,0
124,124,0
125,125,2
126,126,2
127,127,1
128,128,3
129,129,1
130,130,1
131,131,3
132,132,2
133,133,0
134,134,0
135,135,0
136,136,5
137,137,0
138,138,1
139,139,0
140,140,3
141,141,7
142,142,1
143,143,1
144,144,0
145,145,0
146,146,0
147,147,0
148,148,0
149,149,3
150,150,3
151,151,0
152,152,0
153,153,0
154,154,0
155,155,1
156,156,0
157,157,8
158,158,1
159,159,0
160,160,0
161,161,0
162,162,1
163,163,0
164,164,0
165,165,0
166,166,0
167,167,6
168,168,0
169,169,0
170,170,1
171,171,9
172,172,0
173,173,4
174,174,0
175,175,0
176,176,2
177,177,0
178,178,16
179,179,26
180,180,0
181,181,0
182,182,0
183,183,0
184,184,0
185,185,1
186,186,1
187,187,7
188,188,0
189,189,3
190,190,1
191,191,3
192,192,1
193,193,1
194,194,1
195,195,0
196,196,1
197,197,0
198,198,0
199,199,0
200,200,1
201,201,2
202,202,0
203,203,0
204,204,0
205,205,1
206,206,0
207,207,3
208,208,1
209,209,7
210,210,0
211,211,1
212,212,0
213,213,0
214,214,1
215,215,0
216,216,0
217,217,1
218,218,3
219,219,1
220,220,0
221,221,2
222,222,0
223,223,0
224,224,0
225,225,6
226,226,0
227,227,0
228,228,2
229,229,3
230,230,0
231,231,0
232,232,0
233,233,0
234,234,4
235,235,1
236,236,0
237,237,0
238,238,1
239,239,0
240,240,0
241,241,0
242,242,0
243,243,0
244,244,0
245,245,0
246,246,13
247,247,0
248,248,0
249,249,1
250,250,0
251,251,4
252,252,9
253,253,0
254,254,1
255,255,0
256,256,0
257,257,0
258,258,1
259,259,0
260,260,0
261,261,0
262,262,0
263,263,1
264,264,0
265,265,0
266,266,2
267,267,0
268,268,0
269,269,0
270,270,11
271,271,0
272,272,0
273,273,2
274,274,0
275,275,0
276,276,0
277,277,0
278,278,0
279,279,0
280,280,0
281,281,1
282,282,0
283,283,0
284,284,3
285,285,0
286,286,0
287,287,0
288,288,0
289,289,0
290,290,4
291,291,3
292,292,0
293,293,0
294,294,0
295,295,0
296,296,0
297,297,0
298,298,1
299,299,0
300,300,0
301,301,0
302,302,0
303,303,2
304,304,0
305,305,2
306,306,0
307,307,1
308,308,0
309,309,1
310,310,0
311,311,0
312,312,0
313,313,1
314,314,1
315,315,1
316,316,0
317,317,0
318,318,0
319,319,0
320,320,0
321,321,1
322,322,1
323,323,2
324,324,3
325,325,0
326,326,4
327,327,1
328,328,0
329,329,0
330,330,1
331,331,1
332,332,0
333,333,0
334,334,2
335,335,1
336,336,1
337,337,0
338,338,1
339,339,0
340,340,6
341,341,0
342,342,0
343,343,0
344,344,1
345,345,0
346,346,1
347,347,0
348,348,4
349,349,1
350,350,0
351,351,3
352,352,2
353,353,4
354,354,0
355,355,0
356,356,0
357,357,0
358,358,0
359,359,1
360,360,0
361,361,4
362,362,0
363,363,0
364,364,0
365,365,0
366,366,0
367,367,1
368,368,2
369,369,0
370,370,0
371,371,0
372,372,0
373,373,0
374,374,0
375,375,0
376,376,0
